country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,app_store,tools,top_paid,com.MOBGames.PoppyMobileChapterOne,Poppy Playtime Chapter 1,,18,,new
US,app_store,tools,top_paid,com.t11.celeste,SkyView®,19,19,0,unchanged
US,app_store,tools,top_paid,com.505games.terraria,Terraria,,20,,new
US,google_play,tools,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,1,1,0,unchanged
US,google_play,tools,top_paid,net.dinglisch.android.taskerm,Tasker,2,2,0,unchanged
US,google_play,tools,top_paid,psplay.grill.com,PXPlay: Remote Play,3,3,0,unchanged
US,google_play,tools,top_paid,com.wakdev.nfctools.pro,NFC Tools - Pro Edition,4,4,0,unchanged
US,google_play,tools,top_paid,dev.vodik7.tvquickactions,tvQuickActions Pro,5,5,0,unchanged
US,google_play,tools,top_paid,com.samruston.buzzkill,BuzzKill Notification Manager,6,6,0,unchanged
US,google_play,tools,top_paid,com.balsoy.fatih.compass,Compass,7,7,0,unchanged
US,google_play,tools,top_paid,com.g19mobile.gameboosterplus,Game Booster 4x Faster Pro,8,8,0,unchanged
US,google_play,tools,top_paid,com.riteshsahu.SMSBackupRestorePro,SMS Backup & Restore Pro,9,9,0,unchanged
US,google_play,tools,top_paid,org.kustom.widget.pro,KWGT Kustom Widget Pro Key,10,10,0,unchanged
US,google_play,tools,top_paid,net.techet.netanalyzer.an,Network Analyzer Pro,11,11,0,unchanged
US,google_play,tools,top_paid,com.schue.downloader.tv,Downloader - Android TV,12,12,0,unchanged
US,google_play,tools,top_paid,de.twokit.screen.mirroring.app.pro,Screen Mirroring Pro App,13,13,0,unchanged
US,google_play,tools,top_paid,com.ascendlearning.uglys.purchase,Ugly's Electrical References,14,14,0,unchanged
US,google_play,tools,top_paid,com.grill.xbxplay,XBXPlay: Remote Play,15,15,0,unchanged
US,google_play,tools,top_paid,org.fossify.thankyou,Fossify Thank You,16,16,0,unchanged
US,google_play,tools,top_paid,org.aprsdroid.app,APRSdroid - APRS Client,17,17,0,unchanged
US,google_play,tools,top_paid,com.coderred.andclaw,OpenClaw for Android – andClaw,18,18,0,unchanged
US,google_play,tools,top_paid,idm.internet.download.manager.plus,1DM+: Browser & Video Download,19,19,0,unchanged
US,google_play,tools,top_paid,com.panda.mouse,Panda Mouse Pro,20,20,0,unchanged
US,app_store,tools,top_grossing,com.openai.chat,ChatGPT,,1,,new
US,app_store,tools,top_grossing,com.google.ios.youtube,YouTube,2,2,0,unchanged
US,app_store,tools,top_grossing,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,3,,new
US,app_store,tools,top_grossing,com.nianticlabs.pokemongo,Pokémon GO,,4,,new
US,app_store,tools,top_grossing,com.lastwar.ios,Last War:Survival,5,5,0,unchanged
US,app_store,tools,top_grossing,com.dreamgames.royalmatch,Royal Match,6,6,0,unchanged
US,app_store,tools,top_grossing,com.scopely.monopolygo,MONOPOLY GO!,,7,,new
US,app_store,tools,top_grossing,com.peacocktv.peacock,Peacock TV: Stream TV & Movies,8,8,0,unchanged
US,app_store,tools,top_grossing,com.mergegame.icookie,Gossip Harbor®: Merge & Story,9,9,0,unchanged
US,app_store,tools,top_grossing,com.midasplayer.apps.candycrushsaga,Candy Crush Saga,10,10,0,unchanged
US,app_store,tools,top_grossing,com.cbsvideo.app,Paramount+,11,11,0,unchanged
US,app_store,tools,top_grossing,com.toyopagroup.picaboo,Snapchat,,12,,new
US,app_store,tools,top_grossing,com.wbd.stream,HBO Max: Stream Movies & TV,,13,,new
US,app_store,tools,top_grossing,com.cardify.tinder,Tinder Dating App: Date & Chat,14,14,0,unchanged
US,app_store,tools,top_grossing,com.linkedin.LinkedIn,LinkedIn: Network & Job Finder,15,15,0,unchanged
US,app_store,tools,top_grossing,com.disney.disneyplus,Disney+,16,16,0,unchanged
US,app_store,tools,top_grossing,com.crunchyroll.iphone,Crunchyroll,,17,,new
US,app_store,tools,top_grossing,com.run.tower.defense,Kingshot,18,18,0,unchanged
US,app_store,tools,top_grossing,com.google.ios.youtubemusic,YouTube Music,19,19,0,unchanged
US,app_store,tools,top_grossing,com.dreamgames.royalkingdom,Royal Kingdom,20,20,0,unchanged
US,google_play,tools,top_grossing,com.clean.forandroid.vidawe,Cleaner Launcher for Android,1,1,0,unchanged
US,google_play,tools,top_grossing,com.find.phone.device.locate.lostphone.android,Find My Phone by Clap Launcher,2,2,0,unchanged
US,google_play,tools,top_grossing,com.open.web.ai.browser,Open Browser - Smart & Safe,3,3,0,unchanged
US,google_play,tools,top_grossing,com.cleaning.toolbox.bitapiper,Cleaning Toolbox & Launcher,4,4,0,unchanged
US,google_play,tools,top_grossing,com.apple.movetoios,Move to iOS,5,5,0,unchanged
US,google_play,tools,top_grossing,com.wifiinfo.launcher.zxiert,WiFi Info & Launcher,6,6,0,unchanged
US,google_play,tools,top_grossing,com.google.android.apps.authenticator2,Google Authenticator,7,7,0,unchanged
US,google_play,tools,top_grossing,com.storage.androidcleaner,Cleanup: Phone Storage Cleaner,8,8,0,unchanged
US,google_play,tools,top_grossing,com.cleanertool.box,Cleaner Toolbox,9,9,0,unchanged
US,google_play,tools,top_grossing,pdf.reader.editor.office,PDF Reader - Editor & Viewer,10,10,0,unchanged
US,google_play,tools,top_grossing,com.sec.android.easyMover,Samsung Smart Switch Mobile,,11,,new
US,google_play,tools,top_grossing,com.document.reader.cairety,Document Reader-PDF Launcher,12,12,0,unchanged
US,google_play,tools,top_grossing,com.file.photo.recovery.deleted.restore,Photo Recovery-File Rescue,13,13,0,unchanged
US,google_play,tools,top_grossing,com.gamma.scan,QR & Barcode Scanner,14,14,0,unchanged
US,google_play,tools,top_grossing,free.fast.safe.unlimit.vpn,VPN: Super Private VPN,15,15,0,unchanged
US,google_play,tools,top_grossing,ch.protonvpn.android,Proton VPN: Fast & Secure VPN,16,16,0,unchanged
US,google_play,tools,top_grossing,com.qr.code.reader.scanner.qrscan.android,QR & Barcode Scanner Launcher,17,17,0,unchanged
US,google_play,tools,top_grossing,com.photoplus.recoverplus.photorecover,Photo Recover Plus - Restore,18,18,0,unchanged
US,google_play,tools,top_grossing,com.flashlight.bright.led.light,Brightest Flashlight Launcher,19,19,0,unchanged
US,google_play,tools,top_grossing,com.google.android.apps.translate,Google Translate,20,20,0,unchanged
US,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,2,,new
US,app_store,books,top_free,com.amazon.Lassen,Amazon Kindle,3,3,0,unchanged
US,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,4,4,0,unchanged
US,app_store,books,top_free,com.hoopladigital.hoopla,Hoopla Digital,,5,,new
US,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,6,6,0,unchanged
US,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,7,,new
US,app_store,books,top_free,com.bible.holy.bible.for.women,Bible For Women.,8,8,0,unchanged
US,app_store,books,top_free,com.barnesandnoble.app.prod,Barnes & Noble,9,9,0,unchanged
US,app_store,books,top_free,co.fable.Fable,Fable: Track & Discuss Books,10,10,0,unchanged
US,app_store,books,top_free,com.sincerelyapp.sincerely,Sincerely - Off My Chest,11,11,0,unchanged
US,app_store,books,top_free,com.kjv.bible.now.ios,KJV Bible Now: Read & Study,12,12,0,unchanged
US,app_store,books,top_free,com.kehcka.nmrbible.ios,Women's Bible: Verse & Prayer,13,13,0,unchanged
US,app_store,books,top_free,com.janitor.ai,Janitor AI - Official App,14,14,0,unchanged
US,app_store,books,top_free,com.simppro.quran.mushaf,القرآن الكريم كاملا دون انترنت,15,15,0,unchanged
US,app_store,books,top_free,mangareader.infinity,Manga Reader Infinity,16,16,0,unchanged
US,app_store,books,top_free,com.iqraapp.Iqra,Tarteel: AI Quran Memorization,17,17,0,unchanged
US,app_store,books,top_free,com.zhangyue.read.rosanovela,Novelmates-Best Stories&Novels,18,18,0,unchanged
US,app_store,books,top_free,org.reactjs.native.Inkitt.App.Colt,Galatea: Books & Audiobooks,19,19,0,unchanged
US,app_store,books,top_free,com.dreame.reader,Dreame - Read Best Romance,20,20,0,unchanged
US,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,2,2,0,unchanged
US,google_play,books,top_free,com.openai.chatgpt,ChatGPT,3,3,0,unchanged
US,google_play,books,top_free,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,books,top_free,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_free,com.instagram.android,Instagram,7,7,0,unchanged
US,google_play,books,top_free,com.microsoft.copilot,​​Microsoft Copilot,8,8,0,unchanged
US,google_play,books,top_free,com.zzkko,SHEIN-Shopping Online,9,9,0,unchanged
