country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,2,,new
US,app_store,books,top_free,com.amazon.Lassen,Amazon Kindle,3,3,0,unchanged
US,app_store,books,top_free,com.hoopladigital.hoopla,Hoopla Digital,,4,,new
US,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,5,5,0,unchanged
US,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,6,6,0,unchanged
US,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,7,,new
US,app_store,books,top_free,com.bible.holy.bible.for.women,Bible For Women.,8,8,0,unchanged
US,app_store,books,top_free,co.fable.Fable,Fable: Track & Discuss Books,9,9,0,unchanged
US,app_store,books,top_free,com.barnesandnoble.app.prod,Barnes & Noble,10,10,0,unchanged
US,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
US,google_play,books,top_free,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,books,top_free,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_free,com.instagram.android,Instagram,7,7,0,unchanged
US,google_play,books,top_free,com.microsoft.copilot,​​Microsoft Copilot,8,8,0,unchanged
US,google_play,books,top_free,com.squareup.cash,Cash App,,9,,new
US,google_play,books,top_free,com.zzkko,SHEIN-Shopping Online,10,10,0,unchanged
US,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,1,,new
US,app_store,books,top_paid,io.rfk.shelfplayer,ShelfPlayer,2,2,0,unchanged
US,app_store,books,top_paid,com.mirrorword.mirrorbible,Mirror Study Bible,3,3,0,unchanged
US,app_store,books,top_paid,com.bookmobile.iphone.twentyfourhoursaday,Twenty-Four Hours a Day,4,4,0,unchanged
US,app_store,books,top_paid,com.cepherapp,Cepher,5,5,0,unchanged
US,app_store,books,top_paid,com.healingfeelings.www,Feelings Buried Alive,6,6,0,unchanged
US,app_store,books,top_paid,com.aabigbook.appstore,AA Big Book App  -  Unofficial,7,7,0,unchanged
US,app_store,books,top_paid,com.alepponline.nawranya,القاعدة النورانية,8,8,0,unchanged
US,app_store,books,top_paid,com.kehot.siddur.annotated,Siddur – Annotated Edition,9,9,0,unchanged
US,app_store,books,top_paid,com.bookmobile.morelanguageoflettinggo,More Language of Letting Go,10,10,0,unchanged
US,google_play,books,top_paid,com.tdr3.hs.android,HotSchedules,,1,,new
US,google_play,books,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,2,2,0,unchanged
US,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,3,3,0,unchanged
US,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),4,4,0,unchanged
US,google_play,books,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,5,5,0,unchanged
US,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,6,6,0,unchanged
US,google_play,books,top_paid,com.imageline.FLM,FL STUDIO MOBILE,7,7,0,unchanged
US,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,8,8,0,unchanged
US,google_play,books,top_paid,com.teslacoilsw.launcher.prime,Nova Launcher Prime,9,9,0,unchanged
US,google_play,books,top_paid,com.t11.skyview,SkyView® Explore the Universe,10,10,0,unchanged
US,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
US,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,3,,new
US,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,4,4,0,unchanged
US,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,5,5,0,unchanged
US,app_store,books,top_grossing,com.scribd.iscribd,Everand: Audiobooks & Ebooks,6,6,0,unchanged
US,app_store,books,top_grossing,com.tapasmedia.Tapastic,Tapas – Comics and Novels,7,7,0,unchanged
US,app_store,books,top_grossing,com.qvon.novellair,Novellair,8,8,0,unchanged
US,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,9,9,0,unchanged
US,app_store,books,top_grossing,com.fivemobile.wattpad,Wattpad - Read & Write Stories,10,10,0,unchanged
US,google_play,books,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,books,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
US,google_play,books,top_grossing,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,books,top_grossing,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_grossing,com.instagram.android,Instagram,7,7,0,unchanged
US,google_play,books,top_grossing,com.microsoft.copilot,​​Microsoft Copilot,8,8,0,unchanged
US,google_play,books,top_grossing,com.squareup.cash,Cash App,,9,,new
US,google_play,books,top_grossing,com.zzkko,SHEIN-Shopping Online,10,10,0,unchanged
US,app_store,browser,top_free,com.google.GoogleMobile,Google,1,1,0,unchanged
US,app_store,browser,top_free,com.google.chrome.ios,Google Chrome,2,2,0,unchanged
US,app_store,browser,top_free,com.google.Authenticator,Google Authenticator,3,3,0,unchanged
US,app_store,browser,top_free,evolly.app.rokuremote,TV Remote - Universal Control,4,4,0,unchanged
US,app_store,browser,top_free,com.att.osd.myWireless,myAT&T,,5,,new
US,app_store,browser,top_free,com.codeway.cleanerplus,Cleanup: Phone Storage Cleaner,6,6,0,unchanged
US,app_store,browser,top_free,org.freevpn.vpn,Free VPN by Free VPN .org™,7,7,0,unchanged
US,app_store,browser,top_free,com.microsoft.msedge,Microsoft Edge: AI Browser,8,8,0,unchanged
US,app_store,browser,top_free,com.xfinity.digitalhome,Xfinity,9,9,0,unchanged
US,app_store,browser,top_free,com.vzw.hss.myverizon,My Verizon,10,10,0,unchanged
US,google_play,browser,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,browser,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,browser,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
US,google_play,browser,top_free,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,browser,top_free,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,browser,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,browser,top_free,com.instagram.android,Instagram,7,7,0,unchanged
US,google_play,browser,top_free,com.microsoft.copilot,​​Microsoft Copilot,8,8,0,unchanged
US,google_play,browser,top_free,com.squareup.cash,Cash App,,9,,new
US,google_play,browser,top_free,com.zzkko,SHEIN-Shopping Online,10,10,0,unchanged
US,app_store,browser,top_paid,com.liguangming.Shadowrocket,Shadowrocket,1,1,0,unchanged
US,app_store,browser,top_paid,nl.jeffreykuiken.NoirApp,Noir - Dark Mode for Safari,2,2,0,unchanged
US,app_store,browser,top_paid,com.goblintools,Goblin Tools,3,3,0,unchanged
US,app_store,browser,top_paid,site.kaylees.Wipr2,Wipr 2,4,4,0,unchanged
US,app_store,browser,top_paid,com.astech.FORScan-Lite,"FORScan Lite - for Ford, Mazda",,5,,new
US,app_store,browser,top_paid,com.ChillSeekers.Necrophonic,Necrophonic,6,6,0,unchanged
US,app_store,browser,top_paid,ws.stash.app,Stash - Rule Based Proxy,7,7,0,unchanged
US,app_store,browser,top_paid,ie.numen.personalgpt,Private LLM - Local AI Chat,8,8,0,unchanged
US,app_store,browser,top_paid,com.openplanetsoftware.Just-Press-Record-for-iOS,Just Press Record,9,9,0,unchanged
US,app_store,browser,top_paid,com.crossutility.quantumult-x,Quantumult X,10,10,0,unchanged
US,google_play,browser,top_paid,com.tdr3.hs.android,HotSchedules,,1,,new
US,google_play,browser,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,2,2,0,unchanged
US,google_play,browser,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,3,3,0,unchanged
US,google_play,browser,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),4,4,0,unchanged
US,google_play,browser,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,5,5,0,unchanged
US,google_play,browser,top_paid,net.dinglisch.android.taskerm,Tasker,6,6,0,unchanged
US,google_play,browser,top_paid,com.imageline.FLM,FL STUDIO MOBILE,7,7,0,unchanged
US,google_play,browser,top_paid,com.appslab.glass.widgets,Glass Widgets,8,8,0,unchanged
US,google_play,browser,top_paid,com.teslacoilsw.launcher.prime,Nova Launcher Prime,9,9,0,unchanged
US,google_play,browser,top_paid,com.t11.skyview,SkyView® Explore the Universe,10,10,0,unchanged
US,app_store,browser,top_grossing,com.codeway.cleanerplus,Cleanup: Phone Storage Cleaner,1,1,0,unchanged
US,app_store,browser,top_grossing,com.immediasemi.ios.blink,Blink Home Monitor,2,2,0,unchanged
US,app_store,browser,top_grossing,gen.universe.app.cleaner,Cleaner Guru: Clean Up Storage,3,3,0,unchanged
US,app_store,browser,top_grossing,com.venus.fambase,Fambase: Live & Group Chat,4,4,0,unchanged
US,app_store,browser,top_grossing,com.nordvpn.NordVPN,NordVPN: VPN Fast & Secure,5,5,0,unchanged
US,app_store,browser,top_grossing,ai.cleaner.app,AI Cleaner: Clean Up Storage,,6,,new
US,app_store,browser,top_grossing,com.symantec.mobilesecurity,Norton 360 Security & VPN,7,7,0,unchanged
US,app_store,browser,top_grossing,co.robokiller.app,Robokiller: Spam Call Blocker,8,8,0,unchanged
US,app_store,browser,top_grossing,evolly.app.rokuremote,TV Remote - Universal Control,9,9,0,unchanged
US,app_store,browser,top_grossing,com.adhoclabs.burner,Burner: Second Phone Number,,10,,new
US,google_play,browser,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,browser,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
