country,platform,category,chart_type,app_id,app_name,prev_rank,curr_rank,delta_rank,status
US,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,2,,new
US,app_store,books,top_free,com.amazon.Lassen,Amazon Kindle,3,3,0,unchanged
US,app_store,books,top_free,com.hoopladigital.hoopla,Hoopla Digital,,4,,new
US,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,5,5,0,unchanged
US,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,6,,new
US,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,7,7,0,unchanged
US,app_store,books,top_free,com.bible.holy.bible.for.women,Bible For Women.,8,8,0,unchanged
US,app_store,books,top_free,com.barnesandnoble.app.prod,Barnes & Noble,9,9,0,unchanged
US,app_store,books,top_free,co.fable.Fable,Fable: Track & Discuss Books,10,10,0,unchanged
US,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
US,google_play,books,top_free,com.tiktok.lite.go,TikTok Lite - Faster TikTok,4,4,0,unchanged
US,google_play,books,top_free,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_free,com.microsoft.copilot,​​Microsoft Copilot,7,7,0,unchanged
US,google_play,books,top_free,com.instagram.android,Instagram,8,8,0,unchanged
US,google_play,books,top_free,com.zzkko,SHEIN-Shopping Online,9,9,0,unchanged
US,google_play,books,top_free,com.lemon.lvoverseas,CapCut - Video Editor,10,10,0,unchanged
US,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,1,,new
US,app_store,books,top_paid,com.mirrorword.mirrorbible,Mirror Study Bible,2,2,0,unchanged
US,app_store,books,top_paid,com.bookmobile.iphone.twentyfourhoursaday,Twenty-Four Hours a Day,3,3,0,unchanged
US,app_store,books,top_paid,com.kehot.siddur.annotated,Siddur – Annotated Edition,4,4,0,unchanged
US,app_store,books,top_paid,com.aabigbook.appstore,AA Big Book App  -  Unofficial,5,5,0,unchanged
US,app_store,books,top_paid,com.cepherapp,Cepher,6,6,0,unchanged
US,app_store,books,top_paid,com.artscroll.SAEEI,ArtScroll Smart Siddur סדור,7,7,0,unchanged
US,app_store,books,top_paid,com.alepponline.nawranya,القاعدة النورانية,8,8,0,unchanged
US,app_store,books,top_paid,com.bookmobile.morelanguageoflettinggo,More Language of Letting Go,9,9,0,unchanged
US,app_store,books,top_paid,com.kimicoapps.BookBuddy,BookBuddy Pro: Book Tracker,,10,,new
US,google_play,books,top_paid,com.tdr3.hs.android,HotSchedules,,1,,new
US,google_play,books,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,2,2,0,unchanged
US,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),3,3,0,unchanged
US,google_play,books,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,4,4,0,unchanged
US,google_play,books,top_paid,com.t11.skyview,SkyView® Explore the Universe,5,5,0,unchanged
US,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,6,6,0,unchanged
US,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,7,7,0,unchanged
US,google_play,books,top_paid,com.imageline.FLM,FL STUDIO MOBILE,8,8,0,unchanged
US,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,9,9,0,unchanged
US,google_play,books,top_paid,com.teslacoilsw.launcher.prime,Nova Launcher Prime,10,10,0,unchanged
US,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
US,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
US,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,3,,new
US,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,4,4,0,unchanged
US,app_store,books,top_grossing,com.scribd.iscribd,Everand: Audiobooks & Ebooks,5,5,0,unchanged
US,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,6,6,0,unchanged
US,app_store,books,top_grossing,com.tapasmedia.Tapastic,Tapas – Comics and Novels,7,7,0,unchanged
US,app_store,books,top_grossing,com.qvon.novellair,Novellair,8,8,0,unchanged
US,app_store,books,top_grossing,com.fivemobile.wattpad,Wattpad - Read & Write Stories,9,9,0,unchanged
US,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,10,10,0,unchanged
US,google_play,books,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
US,google_play,books,top_grossing,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
US,google_play,books,top_grossing,com.tiktok.lite.go,TikTok Lite - Faster TikTok,3,3,0,unchanged
US,google_play,books,top_grossing,com.einnovation.temu,Temu: Shop Like a Billionaire,4,4,0,unchanged
US,google_play,books,top_grossing,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",,5,,new
US,google_play,books,top_grossing,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
US,google_play,books,top_grossing,com.microsoft.copilot,​​Microsoft Copilot,7,7,0,unchanged
US,google_play,books,top_grossing,com.instagram.android,Instagram,8,8,0,unchanged
US,google_play,books,top_grossing,com.zzkko,SHEIN-Shopping Online,9,9,0,unchanged
US,google_play,books,top_grossing,com.lemon.lvoverseas,CapCut - Video Editor,10,10,0,unchanged
CA,app_store,books,top_free,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
CA,app_store,books,top_free,com.overdrive.dewey,"Libby, the library app",,2,,new
CA,app_store,books,top_free,com.amazon.Lassen,Kindle,3,3,0,unchanged
CA,app_store,books,top_free,com.goodreads.Goodreads,Goodreads: Book Tracker & More,4,4,0,unchanged
CA,app_store,books,top_free,co.fable.Fable,Fable: Track & Discuss Books,5,5,0,unchanged
CA,app_store,books,top_free,com.hoopladigital.hoopla,Hoopla Digital,,6,,new
CA,app_store,books,top_free,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,7,,new
CA,app_store,books,top_free,com.fivemobile.wattpad,Wattpad - Read & Write Stories,8,8,0,unchanged
CA,app_store,books,top_free,com.shortcovers.shortcovers,Kobo Books & Audiobooks,9,9,0,unchanged
CA,app_store,books,top_free,com.quran.ios,Quran - by Quran.com - قرآن,,10,,new
CA,google_play,books,top_free,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
CA,google_play,books,top_free,com.openai.chatgpt,ChatGPT,2,2,0,unchanged
CA,google_play,books,top_free,com.einnovation.temu,Temu: Shop Like a Billionaire,3,3,0,unchanged
CA,google_play,books,top_free,com.zhiliaoapp.musically,TikTok,4,4,0,unchanged
CA,google_play,books,top_free,digital.rbi.timhortons,Tim Hortons,5,5,0,unchanged
CA,google_play,books,top_free,com.whatsapp,WhatsApp Messenger,6,6,0,unchanged
CA,google_play,books,top_free,com.microsoft.teams,Microsoft Teams,7,7,0,unchanged
CA,google_play,books,top_free,com.azure.authenticator,Microsoft Authenticator,8,8,0,unchanged
CA,google_play,books,top_free,com.microsoft.office.word,Microsoft Word: Edit Documents,9,9,0,unchanged
CA,google_play,books,top_free,com.lemon.lvoverseas,CapCut: Photo & Video Editor,10,10,0,unchanged
CA,app_store,books,top_paid,com.maplepop.bmsea,MapleRead SE,1,1,0,unchanged
CA,app_store,books,top_paid,com.palreader.biblerussianaudiorus,Библия (текст и аудио)(audio)(Russian Bible),2,2,0,unchanged
CA,app_store,books,top_paid,tw.org.twgbr.iHymn,電子詩歌,3,3,0,unchanged
CA,app_store,books,top_paid,com.timbueno.boundapp,Bound - Audiobook Player,,4,,new
CA,app_store,books,top_paid,com.MotoJitsu.Books,MotoJitsu,5,5,0,unchanged
CA,app_store,books,top_paid,com.mirrorword.mirrorbible,Mirror Study Bible,6,6,0,unchanged
CA,app_store,books,top_paid,com.artscroll.SAEEI,ArtScroll Smart Siddur סדור,7,7,0,unchanged
CA,app_store,books,top_paid,fr.islamobile.assirah,As-Sira : Prophète Mohamed,8,8,0,unchanged
CA,app_store,books,top_paid,com.liuhdevelop.diary,轻日记-记事本.备忘录.便签.待办,9,9,0,unchanged
CA,app_store,books,top_paid,com.decaladan.focal,Focal reading,10,10,0,unchanged
CA,google_play,books,top_paid,com.fulldive.extension.fullroid.pro,Pro Emulator for Game Consoles,1,1,0,unchanged
CA,google_play,books,top_paid,com.monashuniversity.fodmap,Monash University FODMAP diet,2,2,0,unchanged
CA,google_play,books,top_paid,org.prowl.torque,Torque Pro (OBD 2 & Car),3,3,0,unchanged
CA,google_play,books,top_paid,com.appslab.glass.widgets,Glass Widgets,4,4,0,unchanged
CA,google_play,books,top_paid,net.dinglisch.android.taskerm,Tasker,5,5,0,unchanged
CA,google_play,books,top_paid,com.facer.pipboy_se,Fallout Pip-Boy SE Watch Face,6,6,0,unchanged
CA,google_play,books,top_paid,ch.threema.app,Threema. The Secure Messenger,7,7,0,unchanged
CA,google_play,books,top_paid,com.mvas.stb.emu.pro,StbEmu (Pro),8,8,0,unchanged
CA,google_play,books,top_paid,com.elf.koalasampler,Koala Sampler,9,9,0,unchanged
CA,google_play,books,top_paid,com.watchfacestudio.md307digital,MD307 Digital watch face,10,10,0,unchanged
CA,app_store,books,top_grossing,com.audible.iphone,Audible: Audiobooks & Podcasts,,1,,new
CA,app_store,books,top_grossing,com.gnovel.originalstation,"GoodNovel - Booktok, Stories",,2,,new
CA,app_store,books,top_grossing,org.reactjs.native.Inkitt.App.Colt,GALATEA: Novels & Audiobooks,3,3,0,unchanged
CA,app_store,books,top_grossing,com.dreame.reader,Dreame - Read Best Romance,4,4,0,unchanged
CA,app_store,books,top_grossing,com.scribd.iscribd,Everand: Audiobooks & Ebooks,5,5,0,unchanged
CA,app_store,books,top_grossing,com.viz.wsj,Shonen Jump Manga & Comics,,6,,new
CA,app_store,books,top_grossing,write.read.story.webnovel.book.anystories,AnyStories-Top Novels & Books,7,7,0,unchanged
CA,app_store,books,top_grossing,com.qvon.novelbar,NovelBar,8,8,0,unchanged
CA,app_store,books,top_grossing,com.qvon.novellair,Novellair,9,9,0,unchanged
CA,app_store,books,top_grossing,com.kw.literie,Literie,10,10,0,unchanged
CA,google_play,books,top_grossing,com.anthropic.claude,Claude by Anthropic,1,1,0,unchanged
